,videoFileName,totalWords,totalNoun,totalConj,totalAdj,totalVerbs,totalAdv,totalPoi,totalMisce,totalWood,totalSwadesh,matchedWords_noSyn,matchedNoun_noSyn,matchedConj_noSyn,matchedAdj_noSyn,matchedVerbs_noSyn,matchedAdv_noSyn,matchedPoi_noSyn,matchedMisce_noSyn,matchedWood_noSyn,matchedSwadesh_noSyn,matchedSentence_noSyn,matchedWords_Syn,matchedNoun_Syn,matchedConj_Syn,matchedAdj_Syn,matchedVerbs_Syn,matchedAdv_Syn,matchedPoi_Syn,matchedMisce_Syn,matchedWood_Syn,matchedSwadesh_Syn,matchedSentence_Syn,matchedWords_Syn_out,matchedNoun_Syn_out,matchedConj_Syn_out,matchedAdj_Syn_out,matchedVerbs_Syn_out,matchedAdv_Syn_out,matchedPoi_Syn_out,matchedMisce_Syn_out,matchedWood_Syn_out,matchedSwadesh_Syn_out,matchedSentence_Syn_out
0,aus_9.mp4,9,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,3,1,,0,2,0,0,0,0,0,1
0,aus_16.mp4,16,5,0,0,5,0,0,4,2,1,2,1,0,0,0,0,0,1,2,1,1,2,1,0,0,0,0,0,1,2,1,1,3,1,,0,1,0,0,1,2,1,1
0,aus_17.mp4,9,6,0,0,0,0,0,1,2,1,3,2,0,0,0,0,0,1,2,1,1,4,3,0,0,0,0,0,1,2,1,1,4,3,,0,0,0,0,1,2,1,1
0,aus_8.mp4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
0,aus_15.mp4,10,3,0,0,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,1,0,0,0,0,0,1
0,aus_14.mp4,15,8,0,1,1,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,1,6,5,,0,1,0,0,0,0,0,1
0,aus_10.mp4,11,8,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,1
0,aus_11.mp4,15,9,0,1,2,1,0,0,2,3,2,2,0,0,0,0,0,0,2,2,1,4,3,0,0,1,0,0,0,2,2,1,7,5,,0,2,0,0,0,2,2,1
0,aus_13.mp4,8,1,0,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
0,aus_12.mp4,13,9,0,0,0,0,0,2,1,3,2,2,0,0,0,0,0,0,1,1,1,6,6,0,0,0,0,0,0,1,2,1,6,6,,0,0,0,0,0,1,2,1
0,aus_1.mp4,11,5,0,2,0,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,1,3,3,,0,0,0,0,0,0,0,1
0,aus_20.mp4,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
0,aus_3.mp4,8,3,0,1,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,2,1,,0,1,0,0,0,0,0,1
0,aus_2.mp4,9,5,0,1,1,0,0,0,1,2,3,2,0,0,1,0,0,0,1,2,1,3,2,0,0,1,0,0,0,1,2,1,3,2,,0,1,0,0,0,1,2,1
0,aus_21.mp4,21,10,0,1,4,2,0,2,3,6,9,5,0,1,2,0,0,1,2,5,1,11,5,0,1,3,1,0,1,2,6,1,14,7,,1,4,1,0,1,3,6,1
0,aus_6.mp4,9,5,0,0,1,0,0,1,1,2,1,1,0,0,0,0,0,0,1,1,1,2,1,0,0,1,0,0,0,1,1,1,3,2,,0,1,0,0,0,1,2,1
0,aus_19.mp4,17,7,0,2,0,1,1,3,3,2,3,2,0,0,0,0,0,1,3,0,1,4,3,0,0,0,0,0,1,3,0,1,5,4,,0,0,0,0,1,3,0,1
0,aus_18.mp4,11,5,0,0,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,2,1,,0,1,0,0,0,0,1,1
0,aus_7.mp4,12,8,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,2,1,0,0,0,0,0,1,1,0,1,3,2,,0,0,0,0,1,1,0,1
0,aus_5.mp4,8,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
0,aus_4.mp4,10,4,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
