videoFile,groundTruthWords,predictedWords,SwadeshWords,matchedSwadeshWords,unmatchedSwadeshWords,WoodWords,matchedWoodWords,unmatchedWoodWords
aus_9.mp4,['.' 'boy' 'hands' 'looked' 'rested' 'window' 'windowsill'],"['BAD' 'BARK' 'BARKED' 'BARKING' 'COMPUTER' 'DAUGHTER' 'DOCTOR' 'DOG'
 'EXTRACT' 'HALF' 'HEAD' 'LOOK' 'LOVE' 'MARRY' 'TEACH' 'TREE' 'WALK'
 'WORK']",['hands'],[],['hands'],[],[],[]
aus_16.mp4,['.' 'away' 'boy' 'burrow' 'nose' 'rubbed' 'walked'],"['ASK' 'BARK' 'BARKED' 'BARKING' 'DRINK' 'DRIVE' 'EAT' 'EXTRACT'
 'FIVE^ZERO' 'HEAD' 'LINK' 'LITTLE' 'LOOK' 'LOVELY' 'NOTHING' 'NUMBER'
 'PERFECT' 'READ' 'RELATIONSHIP' 'SIX' 'SLEEP' 'SPEECH' 'SPOUSE' 'SUN'
 'TALK' 'TEA' 'TOWN' 'TREE' 'TWENTY' 'WALK']","['nose', 'walked']",['walked'],['nose'],[],[],[]
aus_17.mp4,"[',' '.' 'attacked' 'barked' 'boy' 'checked' 'climbed' 'dog' 'head' 'owl'
 'passing' 'surprise' 'tree']","['AGES' 'ATTENTION' 'AVOID' 'BALL' 'BARK' 'BARKED' 'BARKING' 'BIG' 'BOOK'
 'BOY' 'BRIEF' 'BRING' 'BRITAIN' 'COMMUNIST' 'CURTAINS' 'DROP' 'EUROPE'
 'EVERYTHING' 'EXPAND' 'FAMILY' 'FAMOUS' 'FENCE' 'FIND' 'FLOCK' 'FORGET'
 'GESTURE' 'GRAB' 'GROUP' 'HEAD' 'HOTEL' 'LEAGUE' 'LEARN' 'LINK' 'LOSE'
 'MANY' 'MEAL' 'MOVE' 'NAME' 'PARTY' 'PERFECT' 'PRIEST' 'QUIET' 'READY'
 'REDUCE' 'RELATIONSHIP' 'SETTLE' 'SHEET' 'SHOULDER' 'SPOUSE' 'SPREAD'
 'SUE' 'SUN' 'TALK' 'TEACH' 'TOUCH' 'TRAIN3b' 'TREE']","['barked', 'dog', 'head', 'tree']","['barked', 'head', 'tree']",['dog'],"['dog', 'tree']",['tree'],['dog']
aus_8.mp4,"[',' '.' 'dog' 'head' 'jar' 'put' 'searching' 'side' 'straightened'
 'turned' 'went']","['ADD' 'AEROPLANE' 'AGES' 'ARRIVE' 'BARK' 'BARKED' 'BARKING' 'BOOKED'
 'BORROW' 'BRING' 'BUY' 'CARAVAN' 'CHANGE' 'CLOSED' 'COMMUNIST' 'CONTROL'
 'CURTAINS' 'DARTS' 'DOG' 'ESCAPE' 'EXTRACT' 'FLOCK' 'FUTURE' 'GRAB'
 'HARD' 'HEAD' 'LINK' 'MANCHESTER' 'MEET' 'MONDAY' 'MONEY' 'MOVE'
 'NOTHING' 'PARTY' 'PERFECT' 'RELATIONSHIP' 'SATURDAY' 'SELL' 'SPOUSE'
 'SUN' 'THURSDAY' 'TOP' 'TREE' 'TYPICAL' 'VEHICLE' 'WRITE']","['dog', 'head']","['dog', 'head']",[],['dog'],['dog'],[]
aus_29.mp4,"['.' 'baby' 'boy' 'dazzled' 'foward' 'frogs' 'leaned' 'line' 'see'
 'sitting']","['ACCESS' 'ADD' 'ANYWAY' 'AREA' 'ARRIVE' 'ASK' 'BARK' 'BARKED' 'BARKING'
 'BOOK' 'COMPUTER' 'DAMAGE' 'DISAPPEAR' 'DIVIDE' 'DOCTOR' 'DOG' 'DRINK'
 'ENOUGH' 'FAMILY' 'GIVE' 'GO' 'HEAD' 'INTERVAL' 'INVOLVE' 'LAPTOP' 'LOOK'
 'MIX' 'MONEY' 'NEXT' 'PAY' 'PLENTY' 'PRAY' 'QUEUE' 'READY' 'SAY' 'SINCE'
 'SIT' 'SMALL' 'SPOUSE' 'STAND' 'STILL' 'SUNDAY' 'TOUCH' 'TREE' 'TRUE'
 'WALK' 'WANT' 'YES']","['see', 'sitting']",['sitting'],['see'],[],[],[]
aus_15.mp4,"[""'s"" ',' '.' 'bark' 'bit' 'boy' 'burrow' 'continued' 'nose' 'rodent']","['ASK' 'BAD' 'BARK' 'BARKED' 'BARKING' 'CONTROL' 'COUNCIL' 'DRIVE' 'EAT'
 'EIGHT' 'EXTRACT' 'FAMOUS' 'FBUOY' 'FOREIGN' 'FUTURE' 'GO' 'GROUP' 'HEAD'
 'INFORM' 'INTERVAL' 'LINK' 'LITTLE' 'MIX' 'MONEY' 'NOTHING' 'ONE'
 'PERFECT' 'SIX' 'SLEEP' 'SMALL' 'SPOUSE' 'SUN' 'TEN' 'TEXTURE' 'TOWN'
 'TREE' 'TWENTY' 'TWO']","['bark', 'bit', 'nose']",['bark'],"['bit', 'nose']",[],[],[]
aus_14.mp4,['.' 'barked' 'bees' 'dog' 'dome-shaped' 'hive' 'looked' 'near' 'swarmed'],"['ACCOMMODATION' 'AREA' 'BALL' 'BARK' 'BARKED' 'BARKING' 'BEDROOM' 'BOOK'
 'CARAVAN' 'CLOSED' 'COMPUTER' 'COUNCIL' 'EMPTY' 'ESCAPE' 'EVERYTHING'
 'FAMOUS' 'FENCE' 'FOREIGN' 'GIVE' 'GO' 'HEAD' 'HOUR' 'HOUSE' 'INFORM'
 'LINK' 'LOOK' 'LOSE' 'MANCHESTER' 'MEANING' 'MINUTE' 'MIX' 'MONDAY'
 'MONEY' 'MONTH' 'MOTHER' 'NEWCASTLE' 'NIGHT' 'NOTHING' 'OLYMPIC'
 'PARENTS' 'PLAN' 'PRAY' 'PUSH' 'QUIET' 'READ' 'RELATIONSHIP' 'SELL'
 'SIMILAR' 'SMALL' 'SPEECH' 'SPOUSE' 'SPREAD' 'STADIUM' 'SUN' 'SUNDAY'
 'SURROUNDINGS' 'TELEVISION' 'THURSDAY' 'TOP' 'TREE' 'TWENTY' 'WALK']","['barked', 'dog']",['barked'],['dog'],['dog'],[],['dog']
aus_28.mp4,"[',' '.' 'couple' 'embracing' 'frogs' 'log' 'loving' 'next' 'pushed'
 'romantically' 'saw' 'sitting']","['AREA' 'BARK' 'BARKED' 'BARKING' 'BOY' 'CHOOSE' 'DOG' 'FAMILY' 'FAMOUS'
 'FATHER' 'FRIEND' 'GO' 'HEAD' 'LOOK' 'MOVE' 'QUIET' 'READY' 'RELAX' 'SAY'
 'SCHOOL' 'SHOULDER' 'SIT' 'SPEECH' 'SPOUSE' 'STAND' 'SWIM' 'THREE'
 'TOUCH' 'TREE' 'WALK' 'WANT']","['saw', 'sitting']",['sitting'],['saw'],[],[],[]
aus_10.mp4,"[',' '.' 'crouched' 'dog' 'fell' 'glass' 'ground' 'head' 'moved'
 'scattering' 'side' 'sitting' 'smashing' 'windowsill']","['ARRANGE' 'ARRIVE' 'BABY' 'BARK' 'BARKED' 'BARKING' 'BASE' 'BEACH'
 'BOOKED' 'BREAK' 'BUY' 'CHAIR' 'CHANGE' 'CHILD' 'DOCTOR' 'DOG' 'EAT'
 'EQUAL' 'FINISH' 'FRIEND' 'FULL' 'GIVE' 'HEAD' 'HELP' 'INVOLVE' 'LINK'
 'LOOK' 'LOSE' 'MANCHESTER' 'MARRY' 'MIX' 'MONDAY' 'MONEY' 'MONTH' 'NOSE'
 'NOTHING' 'PANIC' 'PAY' 'PLAN' 'PROBLEM' 'READ' 'RELATIONSHIP' 'SATURDAY'
 'SEE' 'SEES' 'SELL' 'SETTLE' 'SPEECH' 'SPOUSE' 'SPREAD' 'STAND' 'STILL'
 'STRONG' 'SUN' 'SWIM' 'TALK' 'TEACH' 'TELEVISION' 'TIME' 'TREE' 'VEHICLE'
 'WAIT' 'WALK' 'WORK' 'WRITE']","['dog', 'head', 'sitting']","['dog', 'head']",['sitting'],['dog'],['dog'],[]
aus_11.mp4,['.' 'boy' 'dog' 'grumpy' 'patted'],"['AREA' 'BARK' 'BARKED' 'BARKING' 'COMPUTER' 'DOG' 'EIGHT' 'FIVE'
 'FIVE^ZERO' 'FOUR' 'GOOD' 'HEAD' 'LEAVE' 'MOTHER' 'ONE' 'PAY' 'READ'
 'SIT' 'STAND' 'THREE' 'TREE' 'TWENTY' 'TWO' 'WALK' 'WRITE' 'YES' 'YOUNG']",['dog'],['dog'],[],['dog'],['dog'],[]
